Stock,name
T55.SI,TIH Limited
T6I.SI,ValueMax Group Limited
T82U.SI,Suntec Real Estate Investment Trust
TCU.SI,Credit Bureau Asia Limited
TQ5.SI,Frasers Property Limited
TS0U.SI,OUE Commercial Real Estate Investment Trust
U06.SI,United Industrial Corporation Limited
U09.SI,Avarga Limited
U10.SI,UOB-Kay Hian Holdings Limited
U11.SI,United Overseas Bank Limited
U13.SI,United Overseas Insurance Limited
U14.SI,UOL Group Limited
U77.SI,Sarine Technologies Ltd.
U96.SI,Sembcorp Industries Ltd
U9E.SI,China Everbright Water Limited
UD1U.SI,IREIT Global
UD2.SI,Japfa Ltd.
UGVR.SI,error
URR.SI,Sim Leisure Group Ltd.
UV1.SI,Regal International Group Ltd.
V03.SI,Venture Corporation Limited
V2Y.SI,V2Y Corporation Ltd.
V3M.SI,Metech International Limited
VFP.SI,Beverly JCG Ltd.
VL6.SI,Koufu Group Limited
W05.SI,Wing Tai Holdings Limited
WJP.SI,VICOM Ltd
WPC.SI,Vallianz Holdings Limited
XCF.SI,KTMG Limited
XJB.SI,G.H.Y Culture & Media Holding Co.
XVG.SI,Aedge Group Limited
XZL.SI,ARA US Hospitality Trust
Y03.SI,Yeo Hiap Seng Limited
Y35.SI,AnAn International Limited
Y3D.SI,mDR Limited
Y45.SI,Singapore Myanmar Investco Limited
Y92.SI,Thai Beverage Public Company Limited
YYB.SI,Arion Entertainment Singapore Limited
YYN.SI,Plato Capital Limited
Z25.SI,Yanlord Land Group Limited
Z59.SI,Yoma Strategic Holdings Ltd.
Z74.SI,Singapore Telecommunications Limited
Z77.SI,Singapore Telecommunications Limited
